"Course Term Select","SCABASE Start Term","Subj Code","Course Number","Course Desc","College Code","College Desc","Division Code","Division Desc","Dept Code","Dept Desc","Status Code","Status Desc","Credit Hours","Level1 Code","Level2 Code","Level3 Code","Attribute Level Code","Course Long Desc","Exclude From ART/Degree Classification","Web Semester Code","Web Semester Desc","MOMD Ind","WHM Ind","Web Display Ind","CRN","Section Camp Code","Section Camp Desc","Maximum Enrollment","Module Creation Date","Module Lead Name","Module Lead ID","Elective Ind","Section Status Code","SCABASE End Term"
"002026","002011","10","24280","LI The Blues","11","College Arts and Law","049","Lan, Cult, Art Hist & Music","134","Music","D","Dormant (but will run later)","20","UG","","","LI","LI The Blues","N","5","Semester 1","N","N","Y","","","","","","","","","","999999"
"002026","002012","08","24528","LM Adv Political + Legal Theo","11","College Arts and Law","027","Birmingham Law School","027","Law","D","Dormant (but will run later)","20","GT","","","LM","LM Advanced Political & Legal Theory","N","6","Semester 2","N","N","Y","","","","","","","","","","999999"
"002026","002012","07","24738","LH Advanced Taxation (KPMG)","12","College Social Sciences","012","Birmingham Business School","246","Accounting","A","Active","20","UG","","","LH","LH Advanced Taxation","N","5","Semester 1","N","N","N","","","","","","","","","","999999"
"002026","002012","03","24866","LM Independ Research Proj NDWM","13","College Eng and Physical Sci","032","Physics and Astronomy","032","Physics & Astronomy","A","Active","60","GT","","","LM","Independent Research Project in Nuclear Decommissioning and Waste Management","N","5","Semester 1","N","N","Y","","","","","","","","","","999999"
"002026","002012","02","25008","LM Cont Prof Dev + Ment Prac","10","College Life and Env Sci","036","Sport, Ex and Rehab Sciences","241","Physiotherapy","A","Active","20","GT","","","LM","Continuing Professional Development and Mentored Practice","N","1","Full Term","N","N","Y","","","","","","","","","","999999"
"002026","002012","08","25047","LM Crim Evidence + Proof","11","College Arts and Law","027","Birmingham Law School","027","Law","D","Dormant (but will run later)","20","GT","","","LM","LM Criminal Evidence and Proof","N","5","Semester 1","N","N","Y","","","","","","","","","","999999"
"002026","002012","01","25139","Home Off App Animal Licence","14","College Medicine and Health","085","School of Infec, Inflam, Immun","204","Biomedical Sciences","A","Active","0","GR","","","LM","Home Office approved animal licence course","N","","","N","N","Y","","","","","","","","","","999999"
"002026","002012","11","25172","Support Acad Writ Skill Dev PG","15","Corporate Services","082","HEFI","272","Digital and Educ Development","A","Active","0","GT","","","LM","Supporting Academic Writing Skills Development for Postgraduates","Y","1","Full Term","N","N","Y","","","","","","","","","","999999"
"002026","002012","02","25359","LM Combined Spec Case Report","14","College Medicine and Health","084","School of Health Sciences","018","Dentistry","A","Active","30","GT","","","LM","Combined Speciality Case Report","N","1","Full Term","N","N","Y","","","","","","","","","","999999"
"002026","002012","01","25370","LC Year 1 Portfolio","14","College Medicine and Health","084","School of Health Sciences","205","Pharmacy","A","Active","0","UG","","","LC","LC Year 1 Portfolio","N","1","Full Term","N","N","Y","","","","","","","","","","999999"
"002026","002012","01","25387","LH Profes Experience Place 3","14","College Medicine and Health","084","School of Health Sciences","205","Pharmacy","A","Active","0","UG","","","LH","Professional experience placements 3","N","1","Full Term","N","N","Y","","","","","","","","","","999999"
"002026","002014","06","25666","LI Real & Complex Analysis","13","College Eng and Physical Sci","029","Mathematics","029","Mathematics","A","Active","20","UG","","","LI","LI Real & Complex Analysis","N","1","Full Term","N","N","Y","","","","","","","","","","999999"
"002026","002014","06","25668","LI Mathematics in Industry","13","College Eng and Physical Sci","029","Mathematics","029","Mathematics","A","Active","10","UG","","","LI","LI Mathematics in Industry","N","5","Semester 1","N","N","Y","","","","","","","","","","999999"
"002026","002013","07","25722","LM Dissertation","12","College Social Sciences","053","Government","131","Public Administration and Poli","A","Active","60","GT","","","LM","LM Dissertation","N","1","Full Term","N","N","Y","","","","","","","","","","999999"
"002026","002013","08","26173","LM Glob Environ Governance","12","College Social Sciences","053","Government","142","Political Sci & Intern'tl Stud","A","Active","20","GT","","","LM","LM Global Environmental Governance","N","6","Semester 2","N","N","Y","","","","","","","","","","999999"
"002026","002013","03","26219","LM Tech Fuel Cell Character","13","College Eng and Physical Sci","056","Chemical Engineering","013","Chemical Engineering","D","Dormant (but will run later)","10","GT","","","LM","Techniques for Fuel Cell Characterisation","N","6","Semester 2","N","N","N","","","","","","","","","","999999"
"002026","002013","03","26368","Prof Writ, Train + Present","10","College Life and Env Sci","033","School of Psychology","033","School of Psychology","A","Active","0","GT","","","LD","Professional Writing, Training and Presentation","N","5","Semester 1","N","N","Y","","","","","","","","","","999999"
"002026","002014","09","26704","LH Language Investigation","11","College Arts and Law","046","Eng, Drama, & Creative Studies","237","Linguistics and Communication","D","Dormant (but will run later)","20","UG","","","LH","LH Language Investigation","N","1","Full Term","N","N","Y","","","","","","","","","","999999"
"002026","002014","09","26718","LMN Dissertation IIICH DL","11","College Arts and Law","047","History and Cultures","225","History","A","Active","60","GT","","","LM","LM Dissertation International Institute for Cultural Heritage DL","N","1","Full Term","N","N","Y","","","","","","","","","","999999"
"002026","002014","08","26770","LC Ethics: How Should we live","11","College Arts and Law","050","Phil, Theology and Religion","140","Philosophy","D","Dormant (but will run later)","10","UG","","","LC","LC Ethics: How Should We Live?","N","5","Semester 1","Y","N","Y","","","","","","","","Module outside main discipline","","999999"
"002026","002013","04","26641","LM Power System Economics","13","College Eng and Physical Sci","080","School of Engineering","021","Elec, Elec & Sys Engineering","A","Active","20","UG","","","LM","Power System Economics","N","6","Semester 2","N","N","Y","","","","","","","","","","999999"
"002026","002013","08","27036","LM Research Design (Sat)","12","College Social Sciences","054","COS - College Hub","200","COS - College Hub","A","Active","20","GT","","","LM","LM Research Design B","N","5","Semester 1","N","N","Y","","","","","","","","","","999999"
"002026","002014","06","27145","LH Numeric Method & Prog","13","College Eng and Physical Sci","029","Mathematics","029","Mathematics","A","Active","10","UG","","","LH","Numerical Methods & Programming","N","5","Semester 1","N","N","Y","","","","","","","","","","999999"
"002026","002014","07","27173","LM Corporate Finance","12","College Social Sciences","012","Birmingham Business School","115","Economics","D","Dormant (but will run later)","10","GT","","","LM","LM Corporate Finance","N","6","Semester 2","N","N","Y","","","","","","","","","","999999"
"002026","002009","08","23020","LC Dev Psych Pers Men Hea Deaf","12","College Social Sciences","035","School of Soc Pol and Society","263","Social Work & Social Care","A","Active","10","UG","","","LC","LC Developmental and Psychological Perspectives on Mental Health & Deafness","N","1","Full Term","N","N","Y","","","","","","Tamsin Waterhouse","1264233","","","999999"
"002026","002012","07","25229","LM Finance and Strategy","12","College Social Sciences","012","Birmingham Business School","261","Management","A","Active","10","GT","","","LM","LM Finance and Strategy","N","6","Semester 2","N","N","Y","","","","","","","","","","999999"
"002026","002005","01","19376","LH Med Soc Neuro Mental Illnes","14","College Medicine and Health","083","School of Medical Sciences","215","Birmingham Medical School","A","Active","10","UG","","","LH","Medicine in Society: The Neurobiology of Mental Illness","N","5","Semester 1","N","N","Y","","","","","","","","","","999999"
"002026","002005","01","19377","LH Med Soc Psych P'pathol Arts","14","College Medicine and Health","083","School of Medical Sciences","215","Birmingham Medical School","A","Active","10","UG","","","LH","Medicine in Society: Psychiatry and Psychopathology in the Arts","N","5","Semester 1","N","N","Y","","","","","","","","","","999999"
"002026","002003","03","17305","LM Current Topics:Part Physics","13","College Eng and Physical Sci","032","Physics and Astronomy","032","Physics & Astronomy","A","Active","10","UG","","","LM","LM Current Topics in Particle Physics","N","5","Semester 1","N","N","Y","","","","","","","","","","999999"
"002026","002007","03","21283","LM Phase Transitions","13","College Eng and Physical Sci","032","Physics and Astronomy","032","Physics & Astronomy","A","Active","10","UG","","","LM","LM Phase Transitions","N","5","Semester 1","N","N","Y","","","","","","","","","","999999"
"002026","002002","06","15552","LI Linear Algebra","13","College Eng and Physical Sci","029","Mathematics","029","Mathematics","A","Active","10","UG","","","LI","LI Linear Algebra","N","5","Semester 1","N","N","Y","","","","","","","","","","999999"
"002026","002005","04","19768","LM Bioseparations","13","College Eng and Physical Sci","056","Chemical Engineering","013","Chemical Engineering","D","Dormant (but will run later)","20","GT","","","LM","Bioseparations","N","6","Semester 2","N","N","N","","","","","","","","","","999999"
"002026","002002","04","17683","LM Inter/MetMatCom/CerMatCom","13","College Eng and Physical Sci","058","Metallurgy and Materials","031","Metallurgy & Materials","D","Dormant (but will run later)","10","GT","UG","","LM","Intermetallics, Metal Matrix Composites and Ceramic Matrix Composites","N","6","Semester 2","N","N","Y","","","","","","","","","","999999"
"002026","002006","04","21364","LM Sensors and Composites","13","College Eng and Physical Sci","058","Metallurgy and Materials","031","Metallurgy & Materials","A","Active","10","GT","UG","","LM","LM Sensors and Composites","N","6","Semester 2","N","N","Y","","","","","","","","","","999999"
"002026","002012","07","25936","LM C++ for Finance","12","College Social Sciences","012","Birmingham Business School","115","Economics","A","Active","20","GT","","","LM","LM C++ for Finance","N","5","Semester 1","N","N","Y","","","","","","","","","","999999"
"002026","002007","08","21787","LM Prep App Ment Heal Prof Pra","12","College Social Sciences","035","School of Soc Pol and Society","263","Social Work & Social Care","A","Active","20","GT","","","LM","LM Preparing for Approved Mental Health Professional Practice","N","4","Summer Period","N","N","Y","","","","","","Richard Bowl","415","","","999999"
"002026","002014","01","27326","LC Basic Life Support (MPharm)","14","College Medicine and Health","084","School of Health Sciences","205","Pharmacy","A","Active","0","UG","","","LC","Basic Life Support","N","1","Full Term","N","N","Y","","","","","","","","","","999999"
"002026","002014","08","27337","LH Con Soc Care Prac w Adults","12","College Social Sciences","035","School of Soc Pol and Society","263","Social Work & Social Care","A","Active","20","UG","","","LH","LH Consolidating Social Care Practice with Adults","N","1","Full Term","N","N","Y","","","","","","","","","","999999"
"002026","002014","07","27400","LM Intro Man Your Res Project","15","Corporate Services","069","Graduate School","233","Graduate School","A","Active","10","GT","","","LM","Introduction to Managing Your Research Project","N","","","N","N","Y","","","","","","","","","","999999"
"002026","000000","11","05652","LM Chall Behav and ASD (DE)","12","College Social Sciences","020","School of Education","231","Disab, Inclusion & Spec Needs","A","Active","20","GT","","","LM","LM Challenging Behaviour and Autistic Spectrum Disorders (Distance Education)","N","1","Full Term","N","N","Y","","","","","","Karen Guldberg","430905","","","999999"
"002026","002010","04","23617","LC Chemistry for Biochemists I","10","College Life and Env Sci","038","School of Bioscience","038","School of Biosciences","A","Active","20","UG","","","LC","LC Chemistry for Biochemists I","N","5","Semester 1","N","N","Y","","","","","","","","","","999999"
"002026","002014","04","27451","LM Materials for Manufacturing","13","College Eng and Physical Sci","058","Metallurgy and Materials","031","Metallurgy & Materials","D","Dormant (but will run later)","15","GT","","","LM","LM Materials for Manufacturing","N","5","Semester 1","N","N","Y","","","","","","","","","","999999"
"002026","002014","09","27510","LH Join Hon Link Diss History","11","College Arts and Law","047","History and Cultures","225","History","A","Active","40","UG","","","LH","LH Joint Honours Link Dissertation","N","1","Full Term","N","N","Y","","","","","","","","","","999999"
"002026","002015","09","27594","LM Theories of the Modern","11","College Arts and Law","046","Eng, Drama, & Creative Studies","236","English Literature","D","Dormant (but will run later)","20","GT","","","LM","Theories of the Modern","N","6","Semester 2","N","N","N","","","","","","","","","","999999"
"002026","001998","08","07948","Dissertation (Economics)","12","College Social Sciences","012","Birmingham Business School","115","Economics","A","Active","40","GT","","","LM","LM Dissertation (Economics)","N","","","N","N","Y","","","","","","","","","","999999"
"002026","002008","08","21878","LM Social Research Methods 2","12","College Social Sciences","054","COS - College Hub","200","COS - College Hub","A","Active","20","GT","","","LM","LM Social Research Methods II","N","6","Semester 2","N","N","N","","","","","","","","","","999999"
"002026","002015","02","27939","LH Transition to Physio","10","College Life and Env Sci","036","Sport, Ex and Rehab Sciences","241","Physiotherapy","A","Active","0","UG","","","LH","LH Transition to Physiotherapy","N","5","Semester 1","N","N","Y","","","","","","","","","","999999"
"002026","002015","09","27951","LC IWLP Arabic L2 (FLC)","11","College Arts and Law","049","Lan, Cult, Art Hist & Music","153","Languages for All","A","Active","0","UG","","","LC","LC IWLP Arabic L2 (Free Language Course)","N","1","Full Term","N","N","Y","","","","","","","","","","999999"
"002026","002015","09","27965","LC IWLP French L3 (FLC)","11","College Arts and Law","049","Lan, Cult, Art Hist & Music","153","Languages for All","A","Active","0","UG","","","LC","LC IWLP French Level 3 (Free Language Course)","N","1","Full Term","N","N","Y","","","","","","","","","","999999"
"002026","002015","09","27982","LC IWLP German L4 (FLC)","11","College Arts and Law","049","Lan, Cult, Art Hist & Music","153","Languages for All","A","Active","0","UG","","","LC","LC IWLP German Level 4 (Free Language Course)","N","1","Full Term","N","N","Y","","","","","","","","","","999999"
"002026","002015","08","28030","LI Lib Art + Sc Yr Ab 1 (12cr)","11","College Arts and Law","050","Phil, Theology and Religion","213","Phil, Theol & Religion","A","Active","12","UG","","","LI","LI Liberal Arts and Sciences Year Abroad 1 (12 credits)","N","1","Full Term","N","N","N","","","","","","","","","","999999"
"002026","002015","08","28032","LI Lib Art + Sc Yr Ab 1 (20cr)","11","College Arts and Law","050","Phil, Theology and Religion","213","Phil, Theol & Religion","A","Active","20","UG","","","LI","LI Liberal Arts and Sciences Year Abroad 1 (20 credits)","N","1","Full Term","N","N","N","","","","","","","","","","999999"
"002026","002016","07","28045","LM Dissertation Oct (MBA DLW)","15","Corporate Services","079","Educational Enterprise","255","Wiley","A","Active","60","GT","","","LM","Dissertation","N","5","Semester 1","N","N","Y","","","","","","","","","","999999"
"002026","002015","08","28114","LC Lib Art + Sc Yr Ab 5 (12cr)","11","College Arts and Law","050","Phil, Theology and Religion","213","Phil, Theol & Religion","A","Active","12","UG","","","LC","LC Liberal Arts and Sciences Year Abroad 5 (12 credits)","N","1","Full Term","N","N","N","","","","","","","","","","999999"
"002026","002015","08","28123","LC Lib Art + Sc Yr Ab 5 (15cr)","11","College Arts and Law","050","Phil, Theology and Religion","213","Phil, Theol & Religion","A","Active","15","UG","","","LC","LC Liberal Arts and Sciences Year Abroad 5 (15 credits)","N","1","Full Term","N","N","N","","","","","","","","","","999999"
"002026","002015","08","28149","LI Lib Art + Sc Yr Ab 3 (12cr)","11","College Arts and Law","050","Phil, Theology and Religion","213","Phil, Theol & Religion","A","Active","12","UG","","","LI","LI Liberal Arts and Sciences Year Abroad 3 (12 credits)","N","1","Full Term","N","N","N","","","","","","","","","","999999"
"002026","002015","08","28166","LI Lib Art + Sc Yr Ab 3 (20cr)","11","College Arts and Law","050","Phil, Theology and Religion","213","Phil, Theol & Religion","A","Active","20","UG","","","LI","LI Liberal Arts and Sciences Year Abroad 3 (20 credits)","N","1","Full Term","N","N","N","","","","","","","","","","999999"
"002026","002015","08","28250","LM Lib Art + Sc Yr Ab 5 (10cr)","11","College Arts and Law","050","Phil, Theology and Religion","213","Phil, Theol & Religion","A","Active","10","UG","","","LM","LM Liberal Arts and Sciences Year Abroad 5 (10 credits)","N","1","Full Term","N","N","N","","","","","","","","","","999999"
"002026","002015","08","28256","LM Lib Ar + Sc Yr Ab 11 (10cr)","11","College Arts and Law","050","Phil, Theology and Religion","213","Phil, Theol & Religion","A","Active","10","UG","","","LM","LM Liberal Arts and Sciences Year Abroad 11 (10 credits)","N","1","Full Term","N","N","N","","","","","","","","","","999999"
"002026","002015","08","28272","LM Lib Art + Sc Yr Ab 6 (15cr)","11","College Arts and Law","050","Phil, Theology and Religion","213","Phil, Theol & Religion","A","Active","15","UG","","","LM","LM Liberal Arts and Sciences Year Abroad 6 (15 credits)","N","1","Full Term","N","N","N","","","","","","","","","","999999"
"002026","002015","09","28376","LM Shakespeare's Theatre DL","11","College Arts and Law","046","Eng, Drama, & Creative Studies","171","Shakespeare Institute","D","Dormant (but will run later)","20","GT","","","LM","Shakespeare's Theatre","N","5","Semester 1","N","N","Y","","","","","","","","","","999999"
"002026","002015","11","28396","LD Theor Persp on Edu + Learn","12","College Social Sciences","020","School of Education","229","Education & Social Justice","A","Active","20","GR","","","LD","LD Theoretical Perspectives on Education and Learning","N","5","Semester 1","N","N","Y","","","","","","","","","","999999"
"002026","002015","09","28447","LM Fash Flesh + Tech: Modern","11","College Arts and Law","049","Lan, Cult, Art Hist & Music","124","Art Hist, Cur and Vis Studies","D","Dormant (but will run later)","20","GT","","","LM","LM Fashioning Flesh and Technology: Modernism and the Body in Germany 1918-1933","N","6","Semester 2","N","N","Y","","","","","","","","","","999999"
"002026","002015","07","28483","LM Performance Manage (DLW)","15","Corporate Services","079","Educational Enterprise","255","Wiley","A","Active","10","GT","","","LM","Performance Management","N","5","Semester 1","N","N","Y","","","","","","","","","","999999"
"002026","002009","03","22876","LM Occupation Health & Safety","10","College Life and Env Sci","022","School of Geog Earth & Env Sci","019","Earth and Environ Sciences","A","Active","20","GT","","","LM","Occupational Health and Safety","N","6","Semester 2","N","N","Y","","","","","","","","","","999999"
"002026","002015","04","28585","LM Fuel Cell Engineering (UCL)","13","College Eng and Physical Sci","056","Chemical Engineering","013","Chemical Engineering","A","Active","10","GT","","","LM","LM Fuel Cell Engineering (UCL)","N","","","N","N","N","","","","","","","","","","999999"
"002026","001999","03","08064","Psychology & the Court System","10","College Life and Env Sci","033","School of Psychology","033","School of Psychology","A","Active","10","GT","","","LM","Psychology and the Court System","N","6","Semester 2","N","N","Y","","","","","","","","","","999999"
"002026","002006","09","19922","LM Dissertation (MA W Mid His)","11","College Arts and Law","047","History and Cultures","225","History","A","Active","60","GT","","","LM","Dissertation (MA West Midlands History)","N","4","Summer Period","N","N","Y","","","","","","","","","","999999"
"002026","002012","09","25087","LM Command + Leadership in War","11","College Arts and Law","047","History and Cultures","225","History","A","Active","20","GT","","","LM","LM Command and Leadership in War","N","4","Summer Period","N","N","Y","","","","","","","","","","999999"
"002026","002006","09","20773","LM Landscape Archaeology","11","College Arts and Law","047","History and Cultures","239","Classics, AH and Archaeology","D","Dormant (but will run later)","20","GT","","","LM","Landscape Archaeology","N","5","Semester 1","N","N","Y","","","","","","","","","","999999"
"002026","002013","09","26194","LH CAHA Dissertation","11","College Arts and Law","047","History and Cultures","239","Classics, AH and Archaeology","A","Active","40","UG","","","LH","CAHA Dissertation","N","1","Full Term","N","N","Y","","","","","","","","","","999999"
"002026","002008","09","21889","LI Brit Mus Renaiss 1890-1914","11","College Arts and Law","049","Lan, Cult, Art Hist & Music","134","Music","D","Dormant (but will run later)","20","UG","","","LI","LI British Music Renaissance 1880 - 1914","N","6","Semester 2","N","N","Y","","","","","","","","","","999999"
"002026","002015","08","28147","LI Lib Ar + Sc Yr Ab 12 (10cr)","11","College Arts and Law","050","Phil, Theology and Religion","213","Phil, Theol & Religion","A","Active","10","UG","","","LI","LI Liberal Arts and Sciences Year Abroad 12 (10 credits)","N","1","Full Term","N","N","N","","","","","","","","","","999999"
"002026","002016","03","28758","LI Neuroscience Methods 2","10","College Life and Env Sci","033","School of Psychology","033","School of Psychology","A","Active","10","UG","","","LI","LI Neuroscience Methods 2","N","6","Semester 2","N","N","Y","","","","","","","","","","999999"
"002026","002001","03","18081","LI Year Abroad (Physics) A","13","College Eng and Physical Sci","032","Physics and Astronomy","032","Physics & Astronomy","A","Active","60","UG","","","LI","Year Abroad (Physics)","N","5","Semester 1","N","N","Y","","","","","","","","","","999999"
"002026","002016","08","28869","LM Inside Out:","11","College Arts and Law","049","Lan, Cult, Art Hist & Music","124","Art Hist, Cur and Vis Studies","A","Active","20","GT","","","LM","LM Inside Out: Interior and Interiority in French Art, Design and Culture 1860-1940","N","6","Semester 2","N","N","Y","","","","","","","","","","999999"
"002026","002016","08","28918","LH Entrepreneur Start Up (LAN)","11","College Arts and Law","050","Phil, Theology and Religion","213","Phil, Theol & Religion","A","Active","20","UG","","","LH","LH Entrepreneurial Start Up","N","6","Semester 2","N","N","Y","","","","","","","","","","999999"
"002026","002016","07","28953","LM Econ+Eco Pol for Bus (Camp)","12","College Social Sciences","012","Birmingham Business School","261","Management","A","Active","10","GT","","","LM","LM Economics and Economic Policy for Business","N","1","Full Term","N","N","Y","","","","","","","","","","999999"
"002026","002016","07","28965","LM Manage of Change(Singapore)","12","College Social Sciences","012","Birmingham Business School","261","Management","A","Active","10","GT","","","LM","LM Management of Change","N","1","Full Term","N","N","Y","","","","","","","","","","999999"
"002026","002015","03","28080","LM Mod Meth for Molec Synth","13","College Eng and Physical Sci","014","Chemistry","014","Chemistry","A","Active","10","UG","","","LM","LM Modern Methods for Molecular Synthesis","N","5","Semester 1","N","N","Y","","","","","","","","","","999999"
"002026","002015","04","28468","LH Structural Engineering II","13","College Eng and Physical Sci","080","School of Engineering","015","Civil Engineering","A","Active","20","UG","","","LH","LH Structural Engineering II","N","5","Semester 1","N","N","Y","","","","","","","","","","999999"
"002026","002014","08","26768","LC Ancient Philo: Plato + Ari","11","College Arts and Law","050","Phil, Theology and Religion","140","Philosophy","D","Dormant (but will run later)","10","UG","","","LC","LC Ancient Philosophy:  Plato and Aristotle","N","5","Semester 1","Y","N","Y","","","","","","","","Module outside main discipline","","999999"
"002026","002016","08","29176","LH Econ of the European Union","12","College Social Sciences","012","Birmingham Business School","115","Economics","A","Active","20","UG","","","LH","LH Economics of the European Union","N","5","Semester 1","N","N","Y","","","","","","","","","","999999"
"002026","002016","08","29203","LM Public Engag for Researcher","15","Corporate Services","069","Graduate School","233","Graduate School","A","Active","10","GR","","","LM","LM Public Engagement for Researchers","N","6","Semester 2","N","N","Y","","","","","","","","","","999999"
"002026","002016","03","29217","LC LANS Inorganic Chemistry I","13","College Eng and Physical Sci","014","Chemistry","014","Chemistry","A","Active","20","UG","","","LC","LC LANS Inorganic Chemistry I","N","5","Semester 1","N","N","Y","","","","","","","","","","999999"
"002026","002016","01","29385","LM Healthcare Simulation Deliv","14","College Medicine and Health","084","School of Health Sciences","216","Applied Health Sciences","A","Active","20","GT","","","LM","LM Healthcare Simulation Delivery","N","4","Summer Period","N","N","Y","","","","","","","","","","999999"
"002026","002016","02","29459","LM Investigative Skills","14","College Medicine and Health","085","School of Infec, Inflam, Immun","258","Inst of Inflammation / Ageing","A","Active","20","GT","","","LM","LM Investigative Skills","N","6","Semester 2","N","N","Y","","","","","","","","","","999999"
"002026","002001","09","14198","LM Sikh Perspectives on IR","11","College Arts and Law","050","Phil, Theology and Religion","150","Theology and Religion","D","Dormant (but will run later)","20","GT","","","LM","LM Sikh Perspectives on Interreligious Relations","N","6","Semester 2","N","N","Y","","","","","","","","","","999999"
"002026","002017","09","29533","LM Socio of Pent+Char Move DL","11","College Arts and Law","050","Phil, Theology and Religion","150","Theology and Religion","D","Dormant (but will run later)","20","GT","","","LM","LM Sociology of Pentecostal and Charismatic Movements","N","6","Semester 2","N","N","Y","","","","","","","","","","999999"
"002026","000000","03","01123","LH Condensed Matter Physics","13","College Eng and Physical Sci","032","Physics and Astronomy","032","Physics & Astronomy","A","Active","10","UG","","","LH","LH Condensed Matter Physics","N","6","Semester 2","N","N","Y","","","","","","","","","","999999"
"002026","002000","03","08635","LC Research Methods B","10","College Life and Env Sci","033","School of Psychology","033","School of Psychology","A","Active","20","UG","","","LC","LC Research Methods B","N","6","Semester 2","N","N","Y","","","","","","","","","","999999"
"002026","002016","04","29569","LM Placement (20 credits)","15","Corporate Services","068","Academic Services","233","Graduate School","A","Active","20","GT","","","LM","LM Placement","N","","","N","N","Y","","","","","","","","","","999999"
"002026","002017","09","29612","LH Gender in Theat+Perf: Queer","11","College Arts and Law","046","Eng, Drama, & Creative Studies","114","Drama and Theatre Arts","D","Dormant (but will run later)","20","UG","","","LH","LH Gender in Theatre and Performance: The Queerest Art","N","5","Semester 1","N","N","N","","","","","","","","","","999999"
"002026","002016","04","29679","LM Invest Food Borne Outbreaks","13","College Eng and Physical Sci","056","Chemical Engineering","013","Chemical Engineering","A","Active","10","GT","","","LM","LM Investigating Food Borne Outbreaks","N","6","Semester 2","N","N","Y","","","","","","","","","","999999"
"002026","002014","09","26680","LI Sociolinguistics","11","College Arts and Law","046","Eng, Drama, & Creative Studies","237","Linguistics and Communication","A","Active","20","UG","","","LI","LI Sociolinguistics","N","6","Semester 2","N","N","Y","","","","","","","","","","999999"
"002026","002017","11","29708","LM Ident + Ass SpLD Dys","12","College Social Sciences","020","School of Education","231","Disab, Inclusion & Spec Needs","A","Active","20","GT","","","LM","LM Identification and assessment of Specific Learning Difficulties (SpLD)/dyslexia (AMBDA enhanced)","N","5","Semester 1","N","N","Y","","","","","","","","","","999999"
"002026","002017","08","29714","LM Dissertation","12","College Social Sciences","035","School of Soc Pol and Society","263","Social Work & Social Care","A","Active","60","GT","","","LM","LM Dissertation","N","5","Semester 1","N","N","Y","","","","","","","","","","999999"
"002026","002015","06","29727","LH Group Theory","13","College Eng and Physical Sci","029","Mathematics","029","Mathematics","A","Active","20","UG","","","LH","LH Group Theory","N","1","Full Term","N","N","Y","","","","","","","","","","999999"
