"College Code","College Desc","Division Code","Division Desc","Dept1 Short Desc","Dept2 Code","Dept2 Short Desc","Dept1 Code","Prog Code","Prog Short Title","Prog Long Title","ATAS Req’d Ind","Prog Mode Code","Prog Mode Desc","Campus Code","Campus Desc","Length","Degree Code","Degree Long Desc","Joint Honours Ind","Alt Qual Ind","Subject1 Code","Subject1 Desc","Subject2 Code","Subject2 Desc","Subject3 Code","Subject3 Desc","Delivering Institution 1 Code","Delivering Institution 1 Desc","Delivering Institution 2 Code","Delivering Institution 2 Desc","Delivering Institution 3 Code","Delivering Institution 3 Desc","UOM Code","UOM Desc","Major Dept Code","Major Dept Short Desc","Reg Body Code","Reg Body Desc"
"12","College Social Sciences","020","School of Education","Teacher Education","","","228","027F","PGDipED Wo Gr Ac Ph SD S","Secondary Education","N","01","Full-time","B","Birmingham","10","132","Postgraduate Diploma","N","N","F300","Physics","","","","","0110","University of Birmingham","","","","","2","Months","228","Teacher Education","",""
"13","College Eng and Physical Sci","056","Chemical Engineering","Chemical Engineering","","","013","0309","PGDip Food Safety Hyg + Man PT","Food Safety, Hygiene and Management","N","31","Part-time.","B","Birmingham","16","001","Postgraduate Diploma","N","N","B900","Others in subjects allied to medici","","","","","0110","University of Birmingham","","","","","2","Months","013","Chemical Engineering","",""
"10","College Life and Env Sci","038","School of Bioscience","School of Biosciences","","","038","0314","PG Aff Biochemistry FT","Biochemistry (occasional)","N","01","Full-time","B","Birmingham","12","087","Postgraduate Affiliate","N","N","C700","Molecular biology, biophysics & bi","","","","","0110","University of Birmingham","","","","","2","Months","038","School of Biosciences","",""
"10","College Life and Env Sci","038","School of Bioscience","School of Biosciences","","","038","0322","MSc Toxicology FT","Toxicology","N","01","Full-time","B","Birmingham","12","039","Master of Science","N","N","B220","Toxicology","","","","","0110","University of Birmingham","","","","","2","Months","038","School of Biosciences","",""
"13","College Eng and Physical Sci","080","School of Engineering","Mechanical Engineering","031","Metallurgy & Materials","028","0386","BEng Mechanical Engineering FT","Mechanical Engineering","N","01","Full-time","B","Birmingham","3","008","Bachelor of Engineering","N","N","H300","Mechanical engineering","","","","","0110","University of Birmingham","","","","","1","Year(s)","028","Mechanical Engineering","",""
"10","College Life and Env Sci","022","School of Geog Earth & Env Sci","Earth and Environ Sciences","","","019","039D","MSc Health Safe + Envir Man FT","Health, Safety and Environment Management","N","01","Full-time","B","Birmingham","1","039","Master of Science","N","N","B910","Environmental health","N620","Health & safety issues","","","0110","University of Birmingham","","","","","1","Year(s)","019","Earth and Environ Sciences","",""
"11","College Arts and Law","049","Lan, Cult, Art Hist & Music","Modern Languages","","","227","046F","BA Mod Lang (Ge, Po, Sp) FT","Modern Languages (German, Portuguese, Spanish)","N","01","Full-time","B","Birmingham","4","003","Bachelor of Arts","N","N","R990","European languages, literature & r","","","","","0110","University of Birmingham","","","","","1","Year(s)","227","Modern Languages","",""
"12","College Social Sciences","012","Birmingham Business School","Birmingham Business School","","","211","047E","PGDip Man Entre + Innov AQ","Management: Entrepreneurship and Innovation","N","","","B","Birmingham","","001","Postgraduate Diploma","N","Y","","","","","","","0110","University of Birmingham","","","","","","","211","Birmingham Business School","",""
"14","College Medicine and Den Sci","065","Cancer Studies","Inst of Cancer / Genomic Sci","","","128","048F","MSc Bioinformatics FT (Dubai)","Bioinformatics","N","01","Full-time","U","Dubai","1","039","Master of Science","N","N","I520","Bioinformatics","","","","","0110","University of Birmingham","","","","","1","Year(s)","128","Inst of Cancer / Genomic Sci","",""
"13","College Eng and Physical Sci","080","School of Engineering","Civil Engineering","","","015","0525","BSc Civil Eng Studies AQ","Civil Engineering Studies","N","","","B","Birmingham","","004","Bachelor of Science","N","Y","","","","","","","0110","University of Birmingham","","","","","","","015","Civil Engineering","",""
"13","College Eng and Physical Sci","080","School of Engineering","Civil Engineering","","","015","0553","PG Aff Construction Mgt FT","Construction Management","N","01","Full-time","B","Birmingham","12","087","Postgraduate Affiliate","N","N","K200","Building","","","","","0110","University of Birmingham","","","","","2","Months","015","Civil Engineering","",""
"13","College Eng and Physical Sci","080","School of Engineering","Civil Engineering","","","015","0555","PGDip Construction Manag FT","Construction Management","N","01","Full-time","B","Birmingham","8","001","Postgraduate Diploma","N","N","K220","Construction management","","","","","0110","University of Birmingham","","","","","2","Months","015","Civil Engineering","",""
"13","College Eng and Physical Sci","058","Metallurgy and Materials","Metallurgy & Materials","","","031","0679","UG Aff Metallurgy+Materials FT","Metallurgy and Materials","N","01","Full-time","B","Birmingham","1","073","Undergraduate Affiliate","N","N","J200","Metallurgy","J500","Materials technology not otherwise ","","","0110","University of Birmingham","","","","","1","Year(s)","031","Metallurgy & Materials","",""
"11","College Arts and Law","047","History and Cultures","History","","","225","0717","Diploma Heritage Managemt AQ","Heritage Management","N","01","Full-time","B","Birmingham","9","001","Postgraduate Diploma","N","Y","N200","Management studies","","","","","0110","University of Birmingham","","","","","2","Months","225","History","",""
"11","College Arts and Law","046","Eng, Drama, & Creative Studies","Eng Lang and Linguistics","","","237","0753","PGDip TeachEng2nd/ForLang AQ","Teaching English as a Second/Foreign Language","N","","","B","Birmingham","","001","Postgraduate Diploma","N","Y","","","","","","","0110","University of Birmingham","","","","","","","237","Eng Lang and Linguistics","",""
"11","College Arts and Law","046","Eng, Drama, & Creative Studies","Eng Lang and Linguistics","","","237","0755","PGDip Spec App Linguistics FT","Special Applications of Linguistics","N","01","Full-time","B","Birmingham","8","001","Postgraduate Diploma","N","Y","","","","","","","0110","University of Birmingham","","","","","2","Months","237","Eng Lang and Linguistics","",""
"12","College Social Sciences","020","School of Education","Teacher Education","","","228","077A","PGDipEd (QTS) Mod Lan Fren KEC","Secondary Education (QTS) Modern Languages: French","N","01","Full-time","V","Validated","10","132","Postgraduate Diploma","N","N","R100","French studies","","","","","Z140","King Edward's Consortium","","","","","2","Months","228","Teacher Education","",""
"12","College Social Sciences","020","School of Education","Teacher Education","","","228","079A","PGDipEd (QTS) Mod Lan Germ KEC","Secondary Education (QTS) Modern Languages: German","N","01","Full-time","V","Validated","10","132","Postgraduate Diploma","N","N","R200","German studies","","","","","Z140","King Edward's Consortium","","","","","2","Months","228","Teacher Education","",""
"11","College Arts and Law","046","Eng, Drama, & Creative Studies","Shakespeare Institute","","","171","0871","MA Shakespeare Studies PT","Shakespeare Studies","N","31","Part-time.","B","Birmingham","36","038","Master of Arts","N","N","Q300","English studies","","","","","0110","University of Birmingham","","","","","2","Months","171","Shakespeare Institute","",""
"12","College Social Sciences","020","School of Education","Teacher Education","","","228","090A","PGDipEd (QTS) Design Tech KEC","Secondary Education (QTS) Design Technology","N","01","Full-time","V","Validated","10","132","Postgraduate Diploma","N","N","W200","Design studies","","","","","Z140","King Edward's Consortium","","","","","2","Months","228","Teacher Education","",""
"11","College Arts and Law","046","Eng, Drama, & Creative Studies","Eng Lang and Linguistics","","","237","096C","DipHE English Language AQ","English Language","N","01","Full-time","B","Birmingham","1","097","Diploma of Higher Education","N","Y","","","","","","","0110","University of Birmingham","","","","","1","Year(s)","237","Eng Lang and Linguistics","",""
"11","College Arts and Law","049","Lan, Cult, Art Hist & Music","Modern Languages","","","227","0985","UG Aff Hispanic Studies FT","Hispanic Studies (Occasional)","N","01","Full-time","B","Birmingham","1","073","Undergraduate Affiliate","N","N","R400","Spanish studies","","","","","0110","University of Birmingham","","","","","1","Year(s)","227","Modern Languages","",""
"11","College Arts and Law","049","Lan, Cult, Art Hist & Music","Music","","","134","0998","UG Aff Music  FT","Music (Occasional)","N","01","Full-time","B","Birmingham","1","073","Undergraduate Affiliate","N","N","W300","Music","","","","","0110","University of Birmingham","","","","","1","Year(s)","134","Music","",""
"13","College Eng and Physical Sci","058","Metallurgy and Materials","Metallurgy & Materials","","","031","104A","PGCert Mat Sust Energy Tech AQ","Materials for Sustainable Energy Technologies","N","","","B","Birmingham","","086","Postgraduate Certificate","N","Y","","","","","","","0110","University of Birmingham","","","","","","","031","Metallurgy & Materials","",""
"11","College Arts and Law","047","History and Cultures","Byzantine, Ottoman, Greek Stud","","","240","126B","PG VRS Byz Ott + Mod Greek FT","Centre for Byzantine, Ottoman and Modern Greek Studies","N","01","Full-time","B","Birmingham","12","134","Visiting Research Student","N","N","V244","Byzantine History","","","","","0110","University of Birmingham","","","","","2","Months","240","Byzantine, Ottoman, Greek Stud","",""
"13","College Eng and Physical Sci","058","Metallurgy and Materials","Metallurgy & Materials","","","031","126E","MEng Aerospac Eng w Ind Exp FT","Aerospace Engineering with Industrial Experience","Y","01","Full-time","B","Birmingham","5","021","Master of Engineering","N","N","H400","Aerospace engineering","","","","","0110","University of Birmingham","","","","","1","Year(s)","031","Metallurgy & Materials","",""
"12","College Social Sciences","020","School of Education","Education & Social Justice","","","229","129D","BSc Psychology in Education FT","Psychology in Education","N","01","Full-time","B","Birmingham","3","004","Bachelor of Science","N","N","C812","","X300","Academic studies in education","","","0110","University of Birmingham","","","","","1","Year(s)","229","Education & Social Justice","",""
"13","College Eng and Physical Sci","058","Metallurgy and Materials","Metallurgy & Materials","032","Physics & Astronomy","031","130E","MEng Nuclear Engi w Ind Exp FT","Nuclear Engineering with Industrial Experience","Y","01","Full-time","B","Birmingham","5","021","Master of Engineering","N","N","J500","Materials technology not otherwise ","H821","Nuclear engineering","","","0110","University of Birmingham","","","","","1","Year(s)","031","Metallurgy & Materials","",""
"11","College Arts and Law","047","History and Cultures","Classics, AH and Archaeology","236","English Literature","239","141D","CertHE Eng + Cla Lit + Civ AQ","English and Classical Literature and Civilisation","N","","","B","Birmingham","","105","Certificate of Higher Education","N","Y","","","","","","","0110","University of Birmingham","","","","","","","239","Classics, AH and Archaeology","",""
"13","College Eng and Physical Sci","080","School of Engineering","Engineering","260","Engineering","260","158C","MSc Adv Eng Man (Operat Man)FT","Advanced Engineering Management: Operations Management","N","01","Full-time","B","Birmingham","12","039","Master of Science","N","N","H100","General engineering","N200","Management studies","","","0110","University of Birmingham","","","","","2","Months","260","Engineering","",""
"14","College Medicine and Den Sci","074","Institute of Clinical Sciences","Birmingham Medical School","","","215","168A","PGCert Ed Health Pro (MDS) PT","Education for Health Professionals","N","31","Part-time.","B","Birmingham","8","086","Postgraduate Certificate","N","N","X100","Training teachers","","","","","0110","University of Birmingham","","","","","2","Months","215","Birmingham Medical School","",""
"12","College Social Sciences","053","Government","Political Sci & Intern'tl Stud","","","142","179C","PGDip Political Sci Mode I AQ","Political Science","N","","","B","Birmingham","","001","Postgraduate Diploma","N","Y","","","","","","","0110","University of Birmingham","","","","","","","142","Political Sci & Intern'tl Stud","",""
"11","College Arts and Law","049","Lan, Cult, Art Hist & Music","Modern Languages","211","Birmingham Business School","227","180B","CertHE Mod Lang w Bus Manag AQ","Modern Languages with Business Management","N","","","B","Birmingham","","105","Certificate of Higher Education","N","Y","","","","","","","0110","University of Birmingham","","","","","","","227","Modern Languages","",""
"14","College Medicine and Den Sci","074","Institute of Clinical Sciences","Birmingham Medical School","","","215","1864","UG Aff Students","Medicine","N","01","Full-time","B","Birmingham","1","073","Undergraduate Affiliate","N","N","A900","Others in medicine & dentistry","","","","","0110","University of Birmingham","","","","","1","Year(s)","215","Birmingham Medical School","",""
"14","College Medicine and Den Sci","074","Institute of Clinical Sciences","Dentistry","","","018","1875","BDS Dentistry - Clinical","Dentistry","N","01","Full-time","B","Birmingham","5","012","Bachelor of Dental Surgery","N","N","A400","Clinical dentistry","","","","","0110","University of Birmingham","","","","","1","Year(s)","018","Dentistry","30",""
"14","College Medicine and Den Sci","074","Institute of Clinical Sciences","Dentistry","","","018","1877","UG Aff Lab Dentistry FT","Dentistry","N","01","Full-time","B","Birmingham","1","073","Undergraduate Affiliate","N","N","A400","Clinical dentistry","","","","","0110","University of Birmingham","","","","","1","Year(s)","018","Dentistry","",""
"14","College Medicine and Den Sci","074","Institute of Clinical Sciences","Institute of Clinical Sciences","","","256","1939","PG Aff Occupational Health FT","Occupational Health","N","01","Full-time","B","Birmingham","12","087","Postgraduate Affiliate","N","N","B900","Others in subjects allied to medici","","","","","0110","University of Birmingham","","","","","2","Months","256","Institute of Clinical Sciences","",""
"12","College Social Sciences","053","Government","Political Sci & Intern'tl Stud","262","Soc Policy, Sociology & Crimin","142","2072","JH Political Science/Sociology","Political Science and Sociology","N","01","Full-time","B","Birmingham","3","003","Bachelor of Arts","N","N","L200","Politics","L300","Sociology","","","0110","University of Birmingham","","","","","1","Year(s)","142","Political Sci & Intern'tl Stud","",""
"12","College Social Sciences","053","Government","Political Sci & Intern'tl Stud","","","142","213D","PGCert Pol Sci (Resea Meth) AQ","Political Science (Research Methods)","N","","","B","Birmingham","","086","Postgraduate Certificate","N","Y","","","","","","","0110","University of Birmingham","","","","","","","142","Political Sci & Intern'tl Stud","",""
"14","College Medicine and Den Sci","074","Institute of Clinical Sciences","Birmingham Medical School","","","215","215D","MSc Cli Neuropsyc PT 2Yr Fixed","Clinical Neuropsychiatry","N","31","Part-time.","B","Birmingham","24","039","Master of Science","N","N","A900","Others in medicine & dentistry","","","","","0110","University of Birmingham","","","","","2","Months","215","Birmingham Medical School","",""
"11","College Arts and Law","047","History and Cultures","History","","","225","218D","PGDip Ren Reform + E Mod St AQ","Renaissance, Reformation and Early Modern Studies","N","","","B","Birmingham","","001","Postgraduate Diploma","N","Y","","","","","","","0110","University of Birmingham","","","","","","","225","History","",""
"12","College Social Sciences","053","Government","Political Sci & Intern'tl Stud","","","142","223B","PGCert Contem Rus East Euro AQ","Contemporary Russian and East European Studies","N","","","B","Birmingham","","086","Postgraduate Certificate","N","Y","","","","","","","0110","University of Birmingham","","","","","","","142","Political Sci & Intern'tl Stud","",""
"11","College Arts and Law","050","Phil, Theology and Religion","Theology and Religion","","","150","225C","MA Pent + Charis Stud DL PT","Pentecostal and Charismatic Studies","N","31","Part-time.","D","Distance Education","2","038","Master of Arts","N","N","V621","Christian studies","","","","","0110","University of Birmingham","","","","","1","Year(s)","150","Theology and Religion","",""
"12","College Social Sciences","012","Birmingham Business School","Economics","","","115","2264","MSc Economics Mode I PT","Economics","N","31","Part-time.","B","Birmingham","24","039","Master of Science","N","N","L100","Economics","","","","","0110","University of Birmingham","","","","","2","Months","115","Economics","",""
"14","College Medicine and Den Sci","074","Institute of Clinical Sciences","Institute of Clinical Sciences","","","256","230A","PG Aff Nursing PMRG PT","Nursing PMRG","N","31","Part-time.","B","Birmingham","99","087","Postgraduate Affiliate","N","N","B700","Nursing","","","","","0110","University of Birmingham","","","","","9","Not applicable","256","Institute of Clinical Sciences","",""
"11","College Arts and Law","046","Eng, Drama, & Creative Studies","Eng Lang and Linguistics","","","237","236B","MA TESOL (DE) PT","Teaching English to Speakers of Other Languages","N","31","Part-time.","D","Distance Education","30","038","Master of Arts","N","N","Q100","","","","","","0110","University of Birmingham","","","","","2","Months","237","Eng Lang and Linguistics","",""
"11","College Arts and Law","046","Eng, Drama, & Creative Studies","Eng Lang and Linguistics","","","237","237B","MA TESOL FT","Teaching English to Speakers of Other Languages","N","01","Full-time","B","Birmingham","12","038","Master of Arts","N","N","Q100","","","","","","0110","University of Birmingham","","","","","2","Months","237","Eng Lang and Linguistics","",""
"12","College Social Sciences","053","Government","Political Sci & Intern'tl Stud","","","142","2412","UG Aff POLSIS PT","Political Science and International Studies","N","31","Part-time.","B","Birmingham","12","073","Undergraduate Affiliate","N","N","L200","Politics","L250","International relations","","","0110","University of Birmingham","","","","","2","Months","142","Political Sci & Intern'tl Stud","",""
"12","College Social Sciences","020","School of Education","Teacher Education","","","228","247D","PGDipEd Biolog Washwood Hea SD","Secondary Education: Biology","N","01","Full-time","B","Birmingham","10","132","Postgraduate Diploma","N","N","X130","Training teachers - secondary","","","","","0110","University of Birmingham","","","","","2","Months","228","Teacher Education","",""
"11","College Arts and Law","049","Lan, Cult, Art Hist & Music","Modern Languages","","","227","250E","PhD De of Mo La (Pr-Ba) PT DL","Modern Languages (Practice-Based)","N","31","Part-time.","D","Distance Education","6","057","Doctor of Philosophy","N","N","R990","European languages, literature & r","","","","","0110","University of Birmingham","","","","","1","Year(s)","227","Modern Languages","",""
"12","College Social Sciences","035","School of Social Policy","Health Services Management Cen","","","122","253E","MSc Healthcare Leaders PT Flex","Healthcare Leadership","N","31","Part-time.","J","Joint Institutions","36","039","Master of Science","N","N","N215","Organisational development","L510","Health & welfare","","","0110","University of Birmingham","0204","The University of Manchester","","","2","Months","122","Health Services Management Cen","",""
"11","College Arts and Law","049","Lan, Cult, Art Hist & Music","Modern Languages","124","Art Hist, Cur and Vis Studies","227","254C","CertHE Mod Lan+Hist of Art AQ","Modern Languages and History of Art","N","","","B","Birmingham","","105","Certificate of Higher Education","N","Y","","","","","","","0110","University of Birmingham","","","","","","","227","Modern Languages","",""
"11","College Arts and Law","047","History and Cultures","History","","","225","256B","MA Int Heritage Management FT","International Heritage Management","N","01","Full-time","B","Birmingham","12","038","Master of Arts","N","N","V700","Heritage studies","","","","","0110","University of Birmingham","","","","","2","Months","188","Ironbridge Int Inst & Cul Her","",""
"11","College Arts and Law","047","History and Cultures","Classics, AH and Archaeology","","","239","258A","MRes Ancient History FT","Ancient History","N","01","Full-time","B","Birmingham","1","110","Master of Research","N","N","V160","Ancient history","","","","","0110","University of Birmingham","","","","","1","Year(s)","239","Classics, AH and Archaeology","",""
"11","College Arts and Law","047","History and Cultures","History","","","225","259B","PGCert Int Heritage Manage AQ","International Heritage Management","N","","","B","Birmingham","","086","Postgraduate Certificate","N","Y","","","","","","","0110","University of Birmingham","","","","","","","222","History and Cultures","",""
"13","College Eng and Physical Sci","056","Chemical Engineering","Chemical Engineering","","","013","259E","MSc Healthcare Technology FT","Healthcare Technology","Y","01","Full-time","B","Birmingham","1","039","Master of Science","N","N","H160","Bioengineering, biomedical eng","","","","","0110","University of Birmingham","","","","","1","Year(s)","013","Chemical Engineering","",""
"12","College Social Sciences","020","School of Education","Teacher Education","","","228","262D","PGDipEd Lordsw Sch Geog SD","Secondary Education: Geography","N","01","Full-time","B","Birmingham","10","132","Postgraduate Diploma","N","N","X130","Training teachers - secondary","","","","","0110","University of Birmingham","","","","","2","Months","228","Teacher Education","",""
"11","College Arts and Law","046","Eng, Drama, & Creative Studies","Film and Creative Writing","","","243","266C","PGCert Literature + Film AQ","Literature and Film","N","","","B","Birmingham","","086","Postgraduate Certificate","N","Y","","","","","","","0110","University of Birmingham","","","","","","","243","Film and Creative Writing","",""
"14","College Medicine and Den Sci","065","Cancer Studies","Inst of Cancer / Genomic Sci","","","128","266E","BMedSc(I) Clin Sci Card Sci FT","Clinical Sciences (Cardiovascular Sciences)","N","01","Full-time","B","Birmingham","12","103","Bachelor of Medical Science","N","N","A900","Others in medicine & dentistry","","","","","0110","University of Birmingham","","","","","2","Months","128","Inst of Cancer / Genomic Sci","",""
"15","Corporate Services","068","Academic Services","Birmingham International Acad","","","214","274E","EAP Presessi 20 wks compressed","English for Academic Purposes Presessional Programme","N","01","Full-time","B","Birmingham","20","135","Common European Framework of Reference for Languages B2","N","N","Q330","English as a second language","","","","","0110","University of Birmingham","","","","","3","Weeks","214","Birmingham International Acad","",""
"12","College Social Sciences","020","School of Education","Teacher Education","","","228","276A","PGCE Computer Science AQ","Computer Science","N","","","V","Validated","","065","Postgraduate Certificate in Education","N","Y","","","","","","","0110","University of Birmingham","","","","","","","228","Teacher Education","",""
"15","Corporate Services","068","Academic Services","Birmingham International Acad","","","214","276E","EAP Presessi 12 wks compressed","English for Academic Purposes Presessional Programme","N","01","Full-time","B","Birmingham","12","135","Common European Framework of Reference for Languages B2","N","N","Q330","English as a second language","","","","","0110","University of Birmingham","","","","","3","Weeks","214","Birmingham International Acad","",""
"12","College Social Sciences","020","School of Education","Teacher Education","","","228","279C","Maths SKE (24 weeks)","Mathematics Subject Knowledge Enhancement","N","02","Other full-time","B","Birmingham","24","153","Subject Knowledge Enhancement","N","N","G100","Mathematics","","","","","0110","University of Birmingham","","","","","3","Weeks","228","Teacher Education","",""
"12","College Social Sciences","012","Birmingham Business School","Management","","","261","280C","BSc Bus Man Com +Yr Ind (Sing)","Business Management with Communications and Year in Industry","N","01","Full-time","R","Totally Taught Abroad","28","004","Bachelor of Science","N","N","N190","Business studies not elsewhere clas","N500","Marketing","","","0110","University of Birmingham","","","","","2","Months","261","Management","",""
"13","College Eng and Physical Sci","056","Chemical Engineering","Chemical Engineering","","","013","282E","MSc Formulation Engineering PT","Formulation Engineering","Y","31","Part-time.","B","Birmingham","2","039","Master of Science","N","N","H810","Chemical engineering","","","","","0110","University of Birmingham","","","","","1","Year(s)","013","Chemical Engineering","",""
"12","College Social Sciences","020","School of Education","Teacher Education","","","228","284D","PGDipEd French Lordswoo Gir SD","Secondary Education: Modern Languages - French","N","01","Full-time","B","Birmingham","10","132","Postgraduate Diploma","N","N","X130","Training teachers - secondary","","","","","0110","University of Birmingham","","","","","2","Months","228","Teacher Education","",""
"10","College Life and Env Sci","033","School of Psychology","School of Psychology","016","Computer Science","033","285A","PGDip Comp Neu + Cog Rob AQ","Computational Neuroscience and Cognitive Robotics","N","","","B","Birmingham","","001","Postgraduate Diploma","N","Y","","","","","","","0110","University of Birmingham","","","","","","","033","School of Psychology","",""
"11","College Arts and Law","049","Lan, Cult, Art Hist & Music","Modern Languages","","","227","3030","PGDip Translation Studies FT","Translation Studies","N","01","Full-time","B","Birmingham","1","001","Postgraduate Diploma","N","Y","Q910","Translation studies","","","","","0110","University of Birmingham","","","","","1","Year(s)","227","Modern Languages","",""
"11","College Arts and Law","047","History and Cultures","History","","","225","303D","PGCert History AQ","History","N","","","B","Birmingham","","086","Postgraduate Certificate","N","Y","","","","","","","0110","University of Birmingham","","","","","","","225","History","",""
